article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
58198;Mikhail Bakunin;Male;1814;Torzhok;;Russia;Europe;5.703.333;3.496.667;Philosopher;Philosophy;Humanities;71;3164869;44576;262.843
9810;Emily Brontë;Female;1818;Thornton, West Yorkshire;;United Kingdom;Europe;537.898;-18.504;Writer;Language;Humanities;62;4588638;74010;262.814
19640;Milton Friedman;Male;1912;New York;NY;United States;North America;4.069.278;-7.399.028;Economist;Social Sciences;Science & Technology;65;9214120;141756;26.28
146213;Trebonianus Gallus;Male;206;Perugia;;Italy;Europe;4.311.222;1.238.889;Politician;Government;Institutions;49;558827;11405;262.764
33523;Woodrow Wilson;Male;1856;Staunton city;VA;United States;North America;3.815.806;-7.907.639;Politician;Government;Institutions;93;14363195;154443;262.752
7342;Clement of Alexandria;Male;150;Athens;;Greece;Europe;3.796.667;2.371.667;Philosopher;Philosophy;Humanities;41;1187054;28953;262.738
3356;Bill Clinton;Male;1946;Hope;AR;United States;North America;3.366.778;-93.59;Politician;Government;Institutions;118;31143787;263930;26.273
31459;Thomas the Apostle;Male;100;Galilee;;Israel;Asia;32.76;35.527;Religious Figure;Religion;Institutions;57;2943946;51648;262.727
301882;Abraham Maslow;Male;1908;New York;NY;United States;North America;4.069.278;-7.399.028;Psychologist;Social Sciences;Science & Technology;44;9361205;212755;262.725
39764;Jacques Chirac;Male;1932;Paris;;France;Europe;488.567;23.508;Politician;Government;Institutions;96;6808856;70926;262.714
9518;Edmund Husserl;Male;1859;Prostějov;;Czech Republic;Europe;4.946.667;1.708.333;Philosopher;Philosophy;Humanities;50;3314356;66287;26.27
15823;Joseph Conrad;Male;1857;Berdychiv;;Ukraine;Europe;49.9;2.856.667;Writer;Language;Humanities;61;5300204;86889;262.674
362321;Pepi II Neferkare;Male;-2284;Other;;Unknown;Unknown;;;Politician;Government;Institutions;42;620077;14764;262.656
